time,close,score,conf,pti,qdd_dir,qdd_conf,gravity_block_bull,gravity_block_bear,wick_bull,wick_bear,ema_trend,ema_macro,ema_gravity,atr,last_polar,bars_neutral
2026-05-01 06:00:00,77082.74,1,1,0.8808619459951442,1,0,0,0,0,0,76330.83049395148,76599.39111954812,,,1,
2026-05-01 07:00:00,76996.83,1,2,0.7147897988555325,1,0,1,0,0,0,76368.88945434421,76610.88399736138,,,1,
2026-05-01 08:00:00,77134.9,1,3,0.6685277887878088,1,0,1,0,0,0,76412.65738979835,76616.62428081785,,,1,
2026-05-01 09:00:00,76953.2,1,4,0.5682567510326584,1,0,1,0,0,0,76443.54681300306,76625.94044879016,,,1,
2026-05-01 10:00:00,77099.25,1,5,0.040884527957416816,1,0,1,0,0,0,76481.01649140213,76637.79173837775,,,1,
2026-05-01 11:00:00,77339.4,1,6,0.6292840017621157,1,0,0,1,0,0,76530.06543982188,76651.16611679652,,,1,
2026-05-01 12:00:00,77239.1,1,7,0.16897744925179178,1,0,0,1,0,0,76570.57860058117,76659.76252119392,,,1,
2026-05-01 13:00:00,77267.07,1,8,0.5477955532748349,1,0,0,1,0,0,76610.3806107331,76676.86464122086,,,1,
2026-05-01 14:00:00,77429.16,1,9,0.4651266391837515,1,0,0,1,0,0,76657.16674933734,76691.77297351442,,,1,
2026-05-01 15:00:00,77846.94,1,10,0.5992230716197045,1,0,0,0,0,0,76725.15059935876,76712.84041354625,,,1,
2026-05-01 16:00:00,78690.97,1,11,1.0,1,0,0,0,0,0,76837.48508286626,76759.60473120553,,,1,
2026-05-01 17:00:00,78311.54,1,12,0.8592706262338836,1,0,0,1,0,0,76921.71617685305,76793.2047672804,,,1,
2026-05-01 18:00:00,78393.85,1,13,0.7826113210256114,1,0,0,1,0,0,77005.83490634868,76824.15675591734,,,1,
2026-05-01 19:00:00,78173.93,1,14,0.31604944856931494,1,0,0,1,0,0,77072.58168984509,76851.97836154363,,,1,
2026-05-01 20:00:00,78509.28,1,15,0.19663419383017036,1,0,0,1,0,0,77154.6800369974,76890.68264075276,,,1,
2026-05-01 21:00:00,78392.23,1,16,0.09581057713362166,1,0,0,1,0,0,77225.39811336622,76925.39918497036,,,1,
